Device,Humidity,Temperature,Experiment,time,Pi
 'gnfuv-temp-exp1-55d487b85b-5ztk8',32,35,1,2018-03-26 17:28:32.500382000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',32,35,1,2018-03-26 17:28:40.488689000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',32,35,1,2018-03-26 17:28:48.296972000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',33,35,1,2018-03-26 17:28:59.191347000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',33,35,1,2018-03-26 17:29:07.396396000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',33,35,1,2018-03-26 17:29:12.183712000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',33,35,1,2018-03-26 17:29:17.579639000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',33,35,1,2018-03-26 17:29:22.868024000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',34,35,1,2018-03-26 17:29:36.661034000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',34,35,1,2018-03-26 17:29:44.096783000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',34,35,1,2018-03-26 17:29:50.320206000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',34,35,1,2018-03-26 17:29:56.718404000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',34,35,1,2018-03-26 17:30:01.462252000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',34,35,1,2018-03-26 17:30:06.238981000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',34,35,1,2018-03-26 17:30:11.880550000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',34,35,1,2018-03-26 17:30:22.002695000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',26,34,1,2018-03-26 17:31:48.759883000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',34,32,1,2018-03-26 17:31:55.458334000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',34,32,1,2018-03-26 17:32:00.261245000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',34,32,1,2018-03-26 17:32:04.972070000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',34,32,1,2018-03-26 17:32:13.280049000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',35,32,1,2018-03-26 17:32:19.181457000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',35,33,1,2018-03-26 17:32:24.216878000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',36,33,1,2018-03-26 17:32:31.754931000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',36,33,1,2018-03-26 17:32:36.455591000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',36,33,1,2018-03-26 17:32:41.164376000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',36,33,1,2018-03-26 17:32:48.438158000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',36,33,1,2018-03-26 17:32:53.291187000,pi5
 'gnfuv-temp-exp1-55d487b85b-5ztk8',36,33,1,2018-03-26 17:32:58.150305000,pi5
