Device,Humidity,Temperature,Experiment,time,Pi
 'gnfuv-temp-exp1-55d487b85b-5g2xh',21,40,1,2018-03-26 17:19:17.406089000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',21,40,1,2018-03-26 17:19:31.261505000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',21,40,1,2018-03-26 17:19:37.501453999,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',21,40,1,2018-03-26 17:19:43.741481000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',22,40,1,2018-03-26 17:19:49.996507000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',22,40,1,2018-03-26 17:19:56.221479000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',22,39,1,2018-03-26 17:20:04.990622000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',23,39,1,2018-03-26 17:20:16.283217000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',23,39,1,2018-03-26 17:20:26.243098000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',24,38,1,2018-03-26 17:21:04.116478000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',24,38,1,2018-03-26 17:21:08.782779000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',24,38,1,2018-03-26 17:21:15.422619000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',25,38,1,2018-03-26 17:21:27.121274000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',25,38,1,2018-03-26 17:21:33.793269000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',25,38,1,2018-03-26 17:21:37.982014000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',25,38,1,2018-03-26 17:21:47.149051000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',25,38,1,2018-03-26 17:21:53.822176000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',25,38,1,2018-03-26 17:22:00.459411000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',25,38,1,2018-03-26 17:22:12.158467000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',26,38,1,2018-03-26 17:22:16.859021000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',26,38,1,2018-03-26 17:22:26.028896000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',25,37,1,2018-03-26 17:22:37.753826000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',25,37,1,2018-03-26 17:22:46.509503000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',25,37,1,2018-03-26 17:22:58.236718000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',26,37,1,2018-03-26 17:23:04.888908000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',26,37,1,2018-03-26 17:23:11.103022000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',26,37,1,2018-03-26 17:23:17.341314000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',26,37,1,2018-03-26 17:23:26.108859000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',26,37,1,2018-03-26 17:23:34.873909000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',26,37,1,2018-03-26 17:23:41.501411000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',27,37,1,2018-03-26 17:23:47.742140000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',27,37,1,2018-03-26 17:23:56.510337999,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',27,37,1,2018-03-26 17:24:05.277235000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',27,37,1,2018-03-26 17:24:11.903309000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',27,36,1,2018-03-26 17:24:18.143536000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',27,36,1,2018-03-26 17:24:24.381348000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',27,36,1,2018-03-26 17:24:30.620728000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',27,36,1,2018-03-26 17:24:36.863814000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',28,36,1,2018-03-26 17:24:50.683689000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',28,36,1,2018-03-26 17:24:59.836591000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',28,36,1,2018-03-26 17:25:09.036943000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',28,36,1,2018-03-26 17:25:15.709143000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',28,36,1,2018-03-26 17:25:19.262232000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',28,36,1,2018-03-26 17:25:25.913468000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',28,36,1,2018-03-26 17:25:32.542036000,pi2
 'gnfuv-temp-exp1-55d487b85b-5g2xh',28,36,1,2018-03-26 17:25:39.181993000,pi2
